"","cieloDespejado","multiNube","nube"
"1",0.00866672210395336,0.033897191286087,0.966520547866821
"2",0.00087676290422678,0.290136396884918,0.709545791149139
"3",0.000761715869884938,0.341270595788956,0.654229462146759
"4",0.924059689044952,0.0003158001054544,0.0398565158247948
"5",0.000452345819212496,0.474877715110779,0.528317153453827
"6",0.00686288066208363,0.0413602478802204,0.951011478900909
"7",0.000637921912129968,0.377574294805527,0.619897127151489
"8",0.00588351953774691,0.0507968850433826,0.937894463539124
"9",0.00559702236205339,0.0579374469816685,0.932597994804382
"10",0.00785984471440315,0.0253127478063107,0.962826907634735
"11",0.00115963665302843,0.23467031121254,0.761083662509918
"12",0.000610544928349555,0.372229844331741,0.633374750614166
"13",0.00208086869679391,0.138236507773399,0.862769365310669
"14",0.0132116340100765,0.00580007862299681,0.983638644218445
"15",0.00052517669973895,0.410711795091629,0.593776285648346
"16",0.935784161090851,0.000250137614784762,0.0471908338367939
"17",0.00208842032589018,0.147467568516731,0.849915683269501
"18",0.000506559619680047,0.421306103467941,0.583627283573151
"19",0.00141025043558329,0.19713182747364,0.802179455757141
"20",0.00604619272053242,0.0468857996165752,0.943802058696747
"21",0.834912598133087,0.000372244452591985,0.144162818789482
"22",0.000662158592604101,0.352434754371643,0.651705682277679
"23",0.000517190841492265,0.41623517870903,0.586933851242065
"24",0.00101746805012226,0.254867911338806,0.74169909954071
"25",0.938369750976562,0.000238235108554363,0.0480565950274467
"26",0.00478036468848586,0.0577630326151848,0.926845073699951
"27",0.00378430518321693,0.0817680358886719,0.914549946784973
"28",0.00533474981784821,0.0595508255064487,0.935677886009216
"29",0.000510657380800694,0.420212000608444,0.583637595176697
"30",0.000510884739924222,0.419110834598541,0.58546769618988
"31",0.00649938778951764,0.0459721237421036,0.947559297084808
"32",0.00675107166171074,0.0411450900137424,0.952146530151367
"33",0.000436700764112175,0.468087583780289,0.537510454654694
"34",0.00423219241201878,0.0703610479831696,0.930788457393646
"35",0.000579412037041038,0.38857439160347,0.612369358539581
"36",0.000598175975028425,0.378397345542908,0.626240730285645
"37",0.00115289003588259,0.235794574022293,0.761728823184967
"38",0.0075746919028461,0.040315393358469,0.956263959407806
"39",0.00491693383082747,0.0616964288055897,0.935860991477966
"40",0.000542763038538396,0.402746945619583,0.601021766662598
"41",0.00389962806366384,0.0862436294555664,0.907616972923279
"42",0.0163424350321293,0.00403076224029064,0.988075077533722
"43",0.000508187047671527,0.419695734977722,0.586027681827545
"44",0.00103381648659706,0.252212375402451,0.751416206359863
"45",0.00430965330451727,0.0692524909973145,0.928194999694824
"46",0.00440260162577033,0.0684812143445015,0.91408783197403
"47",0.000514037790708244,0.416597753763199,0.589005768299103
"48",0.0116417855024338,0.00876441970467567,0.981572091579437
"49",0.000598687620367855,0.38298225402832,0.617159247398376
"50",0.00651416834443808,0.0334662981331348,0.951510965824127
"51",0.0031326177995652,0.0942026972770691,0.907110333442688
"52",0.00415038643404841,0.0716898590326309,0.929552912712097
"53",0.00723093561828136,0.0420706793665886,0.955084800720215
"54",0.00698918849229813,0.0382764153182507,0.955199062824249
"55",0.00832463521510363,0.0346943736076355,0.961350858211517
"56",0.000547350675333291,0.399110078811646,0.605634272098541
"57",0.0137612950056791,0.00619380315765738,0.984698712825775
"58",0.00337923550978303,0.097580149769783,0.893283009529114
"59",0.00431348383426666,0.0713474527001381,0.925078690052032
"60",0.00108977989293635,0.248211234807968,0.748427927494049
"61",0.000544845417607576,0.40074610710144,0.604835212230682
